test_label,target_y,driver_x,lag_years,f_stat,p_value,is_causal_significant
Pol_Conflict_causes_GDP_Growth,gdp_pc_growth_1y_fwd,material_conflict_annual_sum,1,0.0002,0.9877,False
Pol_Conflict_causes_GDP_Growth,gdp_pc_growth_1y_fwd,material_conflict_annual_sum,2,0.4857,0.6153,False
Pol_Conflict_causes_GDP_Growth,gdp_pc_growth_1y_fwd,material_conflict_annual_sum,3,1.4253,0.2332,False
Pol_Stability_causes_GDP_Growth,gdp_pc_growth_1y_fwd,goldstein_annual_mean,1,5.7516,0.0165,True
Pol_Stability_causes_GDP_Growth,gdp_pc_growth_1y_fwd,goldstein_annual_mean,2,7.5036,0.0006,True
Pol_Stability_causes_GDP_Growth,gdp_pc_growth_1y_fwd,goldstein_annual_mean,3,6.5526,0.0002,True
GDP_Growth_causes_Pol_Conflict,material_conflict_annual_sum,gdp_pc_growth_1y_fwd,1,0.5382,0.4632,False
GDP_Growth_causes_Pol_Conflict,material_conflict_annual_sum,gdp_pc_growth_1y_fwd,2,0.3498,0.7048,False
GDP_Growth_causes_Pol_Conflict,material_conflict_annual_sum,gdp_pc_growth_1y_fwd,3,0.41,0.7458,False
Inflation_causes_Pol_Conflict,material_conflict_annual_sum,inflation_rate,1,0.1005,0.7512,False
Inflation_causes_Pol_Conflict,material_conflict_annual_sum,inflation_rate,2,1.7697,0.1704,False
Inflation_causes_Pol_Conflict,material_conflict_annual_sum,inflation_rate,3,1.4602,0.2233,False
Banking_Crisis_causes_Pol_Stability,goldstein_annual_mean,banking_crisis,1,0.1688,0.6812,False
Banking_Crisis_causes_Pol_Stability,goldstein_annual_mean,banking_crisis,2,0.5965,0.5508,False
Banking_Crisis_causes_Pol_Stability,goldstein_annual_mean,banking_crisis,3,1.1816,0.3151,False
Gov_Debt_causes_Pol_Conflict,material_conflict_annual_sum,gov_debt_gdp,1,0.4189,0.5175,False
Gov_Debt_causes_Pol_Conflict,material_conflict_annual_sum,gov_debt_gdp,2,0.821,0.44,False
Gov_Debt_causes_Pol_Conflict,material_conflict_annual_sum,gov_debt_gdp,3,0.5499,0.6482,False
